course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
Graduate Diploma in Business,Postgraduate,,Graduate Diploma - extending,Queensland University of Technology,1 year,Business & Management,BRISBANE QLD
Graduate Diploma in Business,Postgraduate,,Graduate Diploma - new area,Southern Cross University,1 year,Business Management,Gold Coast QLD
Graduate Diploma in Business,Postgraduate,,Graduate Diploma - new area,Southern Cross University,1 year,Business Management,Distance Education
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business Management,MELBOURNE VIC
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business Management,NORTH SYDNEY NSW
GRADUATE DIPLOMA IN BUSINESS ADMINISTRATION,Postgraduate,,Graduate Diploma - new area,Charles Darwin University,1 year,Business Management,CASUARINA NT
GRADUATE DIPLOMA IN BUSINESS ADMINISTRATION,Postgraduate,,Graduate Diploma - new area,Charles Darwin University,1 year,Business Management,DISTANCE EDUCATION
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,Flinders University,1 year,Business & Management,Adelaide at City Centre SA
GRADUATE DIPLOMA IN BUSINESS ADMINISTRATION,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Business & Management,MURDOCH WA
GRADUATE DIPLOMA IN BUSINESS ADMINISTRATION,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Business & Management,Distance Education
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,Southern Cross University,1 year,Business Management,Gold Coast QLD
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,Southern Cross University,1 year,Business Management,Distance Education
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Business & Management,Camperdown NSW
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of Canberra,1 year,Business & Management n.e.c.,Bruce ACT
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of South Australia,1 year,Business & Management,Adelaide SA
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,"University of Technology, Sydney",1 year,Business & Management,Broadway NSW
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Business & Management n.e.c.,Sippy Downs QLD
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Business & Management n.e.c.,Distance Education
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of Wollongong,1 year,Business & Management,Sydney NSW
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of Wollongong,1 year,Business & Management,Wollongong NSW
Graduate Diploma in Business Administration,Postgraduate,,Graduate Diploma - new area,University of Wollongong,1 year,Business & Management,Innovation Campus NSW
Graduate Diploma in Business Administration (Executive),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business Management,BRISBANE QLD
Graduate Diploma in Business Administration (Executive),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business Management,NORTH SYDNEY NSW
Graduate Diploma in Business Administration (Health),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Public & Health Care Administration,MELBOURNE VIC
Graduate Diploma in Business Administration (Health),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Public & Health Care Administration,BRISBANE QLD
Graduate Diploma in Business Administration (Health),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Public & Health Care Administration,NORTH SYDNEY NSW
Graduate Diploma in Business Administration (intensive),Postgraduate,,Graduate Diploma - new area,University of Canberra,1 year,Business & Management n.e.c.,Bruce ACT
Graduate Diploma in Business and Information Technology,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,1 year,Business & Management n.e.c.,PARKVILLE VIC
Graduate Diploma in Business Informatics,Postgraduate,,Graduate Diploma - new area,University of Canberra,1 year,Information Technology n.e.c.,Bruce ACT
Graduate Diploma in Business Information Management,Postgraduate,,Graduate Diploma - new area,University of South Australia,1 year,Information Systems,Adelaide SA
Graduate Diploma in Cancer and Haematology Nursing,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Nursing,Camperdown NSW
Graduate Diploma in Cardiac Ultrasound,Postgraduate,,Graduate Diploma - new area,Queensland University of Technology,1 year,Radiography (Detailed),BRISBANE QLD
GRADUATE DIPLOMA IN CAREER DEVELOPMENT,Postgraduate,,Graduate Diploma - new area,Swinburne University of Technology,1 year,Human Welfare Studies & Services n.e.c.,Distance Education
Graduate Diploma in Case Management,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,1 year,Health n.e.c.,PARKVILLE VIC
GRADUATE DIPLOMA IN CHAPLAINCY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1 year,Religious Studies,MURDOCH WA
GRADUATE DIPLOMA IN CHAPLAINCY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1 year,Religious Studies,Distance Education
Graduate Diploma in Chemical Engineering,Postgraduate,,Graduate Diploma - extending,Curtin University of Technology,1 year,Chemical Engineering,Bentley Campus WA
Graduate Diploma in Child and Adolescent Health Nursing,Postgraduate,,Graduate Diploma - new area,Curtin University of Technology,1 year,Nursing,Bentley Campus WA
GRADUATE DIPLOMA IN CHILD AND FAMILY HEALTH,Postgraduate,,Graduate Diploma - new area,Charles Darwin University,1 year,"Mothercraft, Family & Child Health Nursing",CASUARINA NT
GRADUATE DIPLOMA IN CHILD AND FAMILY HEALTH,Postgraduate,,Graduate Diploma - new area,Charles Darwin University,1 year,"Mothercraft, Family & Child Health Nursing",DISTANCE EDUCATION
Graduate Diploma in Child and Family Practice Leadership,Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Human Welfare Studies & Services,OTHER SITE VIC
Graduate Diploma in China Studies,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Studies in Human Society,Camperdown NSW
Graduate Diploma in Chronic Condition Management,Postgraduate,,Graduate Diploma - extending,Flinders University,1 year,Psychology,Distance Education
Graduate Diploma in Climate Change Adaptation,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Environmental Studies n.e.c.,Sippy Downs QLD
Graduate Diploma in Clinical Counselling,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Counselling,MELBOURNE VIC
Graduate Diploma in Clinical Counselling,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Counselling,BRISBANE QLD
Graduate Diploma in Clinical Counselling,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Counselling,STRATHFIELD NSW
Graduate Diploma in Clinical Dentistry (Advanced Restorative),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Child Health),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Dental Public Health),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Hospital Dentistry),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Oral Biology),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Oral Implants),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Restorative),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Westmead NSW
Graduate Diploma in Clinical Dentistry (Surgical Dentistry),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Surry Hills NSW
Graduate Diploma in Clinical Dentistry (Tooth Mechanics),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Dentistry,Surry Hills NSW
Graduate Diploma in Clinical Education,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Nursing n.e.c.,NATIONAL NSW
Graduate Diploma in Clinical Education,Postgraduate,,Graduate Diploma - new area,Bond University,1 year,Education n.e.c.,Bond University QLD
Graduate Diploma in Clinical Education,Postgraduate,,Graduate Diploma - extending,Flinders University,1 year,Education,Distance Education
Graduate Diploma in Clinical Epidemiology,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Epidemiology,Camperdown NSW
Graduate Diploma in Clinical Epidemiology,Postgraduate,,Graduate Diploma - new area,University of Newcastle,1 year,Epidemiology,Distance Education
Bachelor of Business and Bachelor of Information Systems (33C),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,4 years,"Management & Commerce n.e.c., Information Systems n.e.c.",Hobart TAS
Bachelor of Business and Bachelor of Information Systems (33C),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,4 years,"Management & Commerce n.e.c., Information Systems n.e.c.",Launceston TAS
Bachelor of Business and Bachelor of Information Technology,Undergraduate,,Bachelor's Pass,University of Southern Queensland,4 years,"Business & Management, Information Systems",TOOWOOMBA QLD
Bachelor of Business and Bachelor of Information Technology,Undergraduate,,Bachelor's Pass,University of Southern Queensland,4 years,"Business & Management, Information Systems",DISTANCE EDUCATION
Bachelor of Business and Bachelor of Laws,Undergraduate,,Bachelor's Pass,University of Southern Queensland,5 years,"Business & Management, Law",TOOWOOMBA QLD
Bachelor of Business and Bachelor of Laws,Undergraduate,,Bachelor's Pass,University of Southern Queensland,5 years,"Business & Management, Law",SPRINGFIELD QLD
Bachelor of Business and Bachelor of Laws,Undergraduate,,Bachelor's Pass,University of Southern Queensland,5 years,"Business & Management, Law",DISTANCE EDUCATION
Bachelor of Business and Bachelor of Laws (63O),Undergraduate,92.00,Bachelor's Pass,University of Tasmania,5 years,"Management & Commerce n.e.c., Law n.e.c.",Hobart TAS
Bachelor of Business and Bachelor of Science (33J),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,4 years,"Management & Commerce n.e.c., Natural & Physical Sciences n.e.c.",Burnie TAS
Bachelor of Business and Bachelor of Science (33J),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,4 years,"Management & Commerce n.e.c., Natural & Physical Sciences n.e.c.",Hobart TAS
Bachelor of Business and Bachelor of Science (33J),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,4 years,"Management & Commerce n.e.c., Natural & Physical Sciences n.e.c.",Launceston TAS
Bachelor of Business and Bachelor of Sport and Outdoor Recreation,Undergraduate,N/A,Bachelor's Pass,Monash University,4 years,"Sport & Recreation Activities, Business & Management n.e.c.",PENINSULA VIC
Bachelor of Business and Bachelor of Visual Arts,Undergraduate,83.10,Bachelor's Pass,Monash University,4 years,"Management & Commerce n.e.c., Visual Arts & Crafts n.e.c.",CAULFIELD VIC
Bachelor of Business and Commerce,Undergraduate,65.50,Bachelor's Pass,University of Western Sydney,3 years,Business & Management,BANKSTOWN CAMPUS NSW
Bachelor of Business and Commerce,Undergraduate,65.05,Bachelor's Pass,University of Western Sydney,3 years,Business & Management,PARRAMATTA CAMPUS NSW
Bachelor of Business and Commerce,Undergraduate,65.00,Bachelor's Pass,University of Western Sydney,3 years,Business & Management,CAMPBELLTOWN CAMPUS NSW
Bachelor of Business and Commerce,Undergraduate,76.00,Bachelor's Pass,University of Western Sydney,3 years,Business & Management,Distance Ed
Bachelor of Business and Commerce (Advanced Business Leadership),Undergraduate,92.10,Bachelor's Pass,University of Western Sydney,3 years,Business & Management,PARRAMATTA CAMPUS NSW
Bachelor of Business and Commerce (Honours),Undergraduate,N/A,Bachelor's Honours,University of Western Sydney,1 year,Business & Management n.e.c.,PARRAMATTA CAMPUS NSW
Bachelor of Business and Commerce/Bachelor of Laws,Undergraduate,90.10,Bachelor's Pass,University of Western Sydney,5 years,"Business & Management, Law",PARRAMATTA CAMPUS NSW
Bachelor of Business and Commerce/Bachelor of Laws,Undergraduate,90.00,Bachelor's Pass,University of Western Sydney,5 years,"Business & Management, Law",Campbelltown Campus NSW
Bachelor of Business and Environmental Science,Undergraduate,60.00,Bachelor's Pass,James Cook University,3 years,Environmental Studies n.e.c.,Townsville QLD
Bachelor of Business and Technology,Undergraduate,N/A,Bachelor's Pass,Flinders University,3 years,Business Management,Adelaide at Bedford Park SA
Bachelor of Business Bachelor of Arts in International Studies,Undergraduate,93.65,Bachelor's Pass,"University of Technology, Sydney",5 years,"Business & Management, Studies in Human Society",Broadway NSW
Bachelor of Business Bachelor of Arts in International Studies,Undergraduate,84.15,Bachelor's Pass,"University of Technology, Sydney",5 years,"Business & Management, Studies in Human Society",Lindfield NSW
Bachelor of Business Bachelor of Creative Intelligence and Innovation,Undergraduate,N/A,Bachelor's Pass,"University of Technology, Sydney",5 years,"Business & Management, Communication & Media Studies n.e.c.",Broadway NSW
Bachelor of Business Bachelor of Laws,Undergraduate,97.20,Bachelor's Pass,"University of Technology, Sydney",5 years,"Management & Commerce, Law",Broadway NSW
Bachelor of Business Bachelor of Science in Information Technology,Undergraduate,86.25,Bachelor's Pass,"University of Technology, Sydney",4 years,"Other Information Technology, Business Management",Broadway NSW
Bachelor of Business Honours,Undergraduate,N/A,Bachelor's Honours,Edith Cowan University,1 year,Business & Management,JOONDALUP WA
BACHELOR OF BUSINESS IN APPLIED ACCOUNTING,Undergraduate,58.00,Bachelor's Pass,Murdoch University,3 years,Accounting (Detailed),ROCKINGHAM WA
Bachelor of Business in Convention and Event Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Tourism (Narrow),Gold Coast QLD
Bachelor of Business in Convention and Event Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Tourism (Narrow),Distance Education
Bachelor of Business in Hotel Management,Undergraduate,N/A,Bachelor's Pass,Southern Cross University,3 years,Hospitality Management,Sydney NSW
Bachelor of Business in International Hospitality Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Hospitality Management,Gold Coast QLD
Bachelor of Business in International Hospitality Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Hospitality Management,Coffs Harbour NSW
Bachelor of Business in International Hospitality Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Hospitality Management,Distance Education
Bachelor of Business in International Tourism Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Tourism Management,Gold Coast QLD
Bachelor of Business in International Tourism Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Tourism Management,Lismore NSW
Bachelor of Business in International Tourism Management,Undergraduate,68.00,Bachelor's Pass,Southern Cross University,3 years,Tourism Management,Distance Education
Bachelor of Business in Tourism and Hospitality Management with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management n.e.c.,Gold Coast QLD
Bachelor of Business in Tourism and Hospitality Management with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management n.e.c.,Lismore NSW
Bachelor of Business in Tourism and Hospitality Management with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management n.e.c.,Coffs Harbour NSW
Bachelor of Business Informatics,Undergraduate,68.00,Bachelor's Pass,University of Canberra,3 years,Systems Analysis and Design,Bruce ACT
Bachelor of Business Informatics/Bachelor of Laws,Undergraduate,85.00,Bachelor's Pass,University of Canberra,5 years,"Systems Analysis and Design, Law",Bruce ACT
Bachelor of Business Information Systems,Undergraduate,N/A,Bachelor's Pass,Federation University Australia,3 years,Information Technology n.e.c.,Mt Helen VIC
Bachelor of Business Information Systems,Undergraduate,63.00,Bachelor's Pass,Griffith University,3 years,Information Systems n.e.c.,Gold Coast QLD
Bachelor of Business Information Systems,Undergraduate,63.00,Bachelor's Pass,Griffith University,3 years,Information Systems n.e.c.,Nathan QLD
Bachelor of Business Information Systems,Undergraduate,60.65,Bachelor's Pass,La Trobe University,3 years,Information Systems n.e.c.,BUNDOORA VIC
Bachelor of Business Information Systems,Undergraduate,84.85,Bachelor's Pass,Monash University,3 years,Information Systems n.e.c.,CLAYTON VIC
BACHELOR OF BUSINESS INFORMATION SYSTEMS,Undergraduate,N/A,Bachelor's Pass,Swinburne University of Technology,3 years,Information Systems,Hawthorn VIC
Bachelor of Business Information Systems,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Information Systems,Wollongong NSW
Bachelor of Business Information Systems (Dean's Scholar),Undergraduate,93.00,Bachelor's Pass,University of Wollongong,3 years,Information Systems,Wollongong NSW
Bachelor of Business Information Systems (Honours),Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Information Systems n.e.c.,BUNDOORA VIC
BACHELOR OF BUSINESS INFORMATION SYSTEMS /BACHELOR OF BUSINESS,Undergraduate,N/A,Bachelor's Pass,Swinburne University of Technology,4 years,"Information Systems, Business & Management",Hawthorn VIC
Bachelor of Business Information Systems and Bachelor of Management,Undergraduate,N/A,Bachelor's Pass,Federation University Australia,4 years,"Information Systems n.e.c., Business & Management n.e.c.",Mt Helen VIC
Bachelor of Business Information Systems Honours,Undergraduate,N/A,Bachelor's Honours,University of Wollongong,1 year,Information Systems,Wollongong NSW
Bachelor of Business Information Systems-Bachelor of Laws,Undergraduate,90.00,Bachelor's Pass,University of Wollongong,5 years,"Information Systems, Studies in Human Society n.e.c.",Wollongong NSW
Bachelor of Business Law,Undergraduate,N/A,Bachelor's Pass,Bond University,3 years,Business & Commercial Law,Bond University QLD
Bachelor of Business Leadership and Commerce,Undergraduate,N/A,Bachelor's Pass,Macquarie University,4 years,Business Management,Macquarie University NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Canberra ACT
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Bathurst NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Wagga Wagga NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Albury-Wodonga NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Dubbo NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Port Macquarie NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Crows Nest NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Griffith NSW
Bachelor of Business Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Business & Management n.e.c.,Distance Education
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,James Cook University,1 year,Business Management,Townsville QLD
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,James Cook University,1 year,Business Management,Cairns QLD
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Business & Management,BUNDOORA VIC
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management,Gold Coast QLD
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management,Lismore NSW
Bachelor of Business with Honours,Undergraduate,N/A,Bachelor's Honours,Southern Cross University,1 year,Business & Management,Coffs Harbour NSW
Bachelor of Business with Honours (G4F),Undergraduate,N/A,Bachelor's Honours,University of Tasmania,1 year,Management & Commerce n.e.c.,Hobart TAS
Bachelor of Business with Honours (G4F),Undergraduate,N/A,Bachelor's Honours,University of Tasmania,1 year,Management & Commerce n.e.c.,Launceston TAS
BACHELOR OF BUSINESS( MARKETING),Undergraduate,61.05,Bachelor's Pass,Swinburne University of Technology,3 years,Business & Management,Distance Education
Bachelor of Business(Honours),Undergraduate,N/A,Bachelor's Honours,Charles Sturt University,1 year,Business & Management n.e.c.,Bathurst NSW
Bachelor of Business(Honours),Undergraduate,N/A,Bachelor's Honours,Charles Sturt University,1 year,Business & Management n.e.c.,Wagga Wagga NSW
Bachelor of Business(Honours),Undergraduate,N/A,Bachelor's Honours,Charles Sturt University,1 year,Business & Management n.e.c.,Albury-Wodonga NSW
Bachelor of Business(Honours),Undergraduate,N/A,Bachelor's Honours,Charles Sturt University,1 year,Business & Management n.e.c.,Distance Education
BACHELOR OF BUSINESS(MANAGEMENT),Undergraduate,N/A,Bachelor's Pass,Swinburne University of Technology,3 years,Business Management,Distance Education
"Bachelor of Business, Bachelor of Arts",Undergraduate,65.00,Bachelor's Pass,Southern Cross University,4.5 years,"Business Management, Communication Studies",Lismore NSW
"Bachelor of Business, Bachelor of Arts",Undergraduate,65.00,Bachelor's Pass,Southern Cross University,4.5 years,"Business Management, Communication Studies",Distance Education
"Bachelor of Business, Bachelor of Laws",Undergraduate,89.00,Bachelor's Pass,Southern Cross University,5 years,"Law, Business Management",Gold Coast QLD
"Bachelor of Business, Bachelor of Laws",Undergraduate,89.00,Bachelor's Pass,Southern Cross University,5 years,"Law, Business Management",Lismore NSW
"Bachelor of Business, Bachelor of Laws",Undergraduate,89.00,Bachelor's Pass,Southern Cross University,5 years,"Law, Business Management",Distance Education
Bachelor of Business/Bachelor of Arts (Psychology),Undergraduate,55.00,Bachelor's Pass,Edith Cowan University,4 years,"Human Resource Management, Psychology",JOONDALUP WA
Bachelor of Business/Bachelor of Arts (Psychology),Undergraduate,55.00,Bachelor's Pass,Edith Cowan University,4 years,"Human Resource Management, Psychology",DISTANCE EDUCATION
Bachelor of Business/Bachelor of Commerce,Undergraduate,N/A,Bachelor's Pass,Bond University,4 years,"Other Management & Commerce, Business & Management",Bond University QLD
Bachelor of Business/Bachelor of Communication,Undergraduate,65.80,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Communication & Media Studies n.e.c.",Nathan QLD
Bachelor of Business/Bachelor of Communication,Undergraduate,65.80,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Communication & Media Studies n.e.c.",Gold Coast QLD
Bachelor of Business/Bachelor of Digital Media,Undergraduate,68.45,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Communication Studies",Gold Coast QLD
Bachelor of Business/Bachelor of Economics,Undergraduate,72.55,Bachelor's Pass,University of New England,4 years,"Business & Management, Economics & Econometrics",Armidale NSW
Bachelor of Business/Bachelor of Economics,Undergraduate,72.55,Bachelor's Pass,University of New England,4 years,"Business & Management, Economics & Econometrics",Distance Education
Bachelor of Business/Bachelor of Journalism,Undergraduate,74.35,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Journalism",Nathan QLD
Bachelor of Business/Bachelor of Journalism,Undergraduate,74.35,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Journalism",Gold Coast QLD
Bachelor of Business/Bachelor of Laws,Undergraduate,N/A,Bachelor's Pass,Bond University,5.4 years,"Business & Commercial Law, Law",Bond University QLD
Bachelor of Business/Bachelor of Laws,Undergraduate,84.40,Bachelor's Pass,University of New England,5 years,"Business & Management, Law",Armidale NSW
Bachelor of Business/Bachelor of Laws,Undergraduate,84.40,Bachelor's Pass,University of New England,5 years,"Business & Management, Law",Distance Education
Graduate Diploma in Clinical Exercise Science,Postgraduate,,Graduate Diploma - new area,University of South Australia,1 year,Rehabilitation Therapies,Adelaide SA
Graduate Diploma in Clinical Nursing,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Nursing n.e.c.,NATIONAL NSW
GRADUATE DIPLOMA IN CLINICAL NURSING,Postgraduate,,Graduate Diploma - extending,Charles Darwin University,1 year,Nursing n.e.c.,DISTANCE EDUCATION
Graduate Diploma in Clinical Nursing,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Nursing,Camperdown NSW
Graduate Diploma in Clinical Rehabilitation,Postgraduate,,Graduate Diploma - extending,Flinders University,1 year,Rehabilitation Therapies,Adelaide at Bedford Park SA
Graduate Diploma in Clinical Rehabilitation,Postgraduate,,Graduate Diploma - extending,Flinders University,1 year,Rehabilitation Therapies,Distance Education
Graduate Diploma in Clinical Research Methods,Postgraduate,,Graduate Diploma - extending,Monash University,1 year,Epidemiology,CLAYTON VIC
Graduate Diploma in Clinical Research Methods,Postgraduate,,Graduate Diploma - extending,Monash University,1 year,Epidemiology,Distance Education
Graduate Diploma in Clinical Trials Practice,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Medical Studies,Camperdown NSW
Graduate Diploma in Clinical Trials Research,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Medical Studies,Camperdown NSW
Graduate Diploma in Coaching Psychology,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Psychology,Camperdown NSW
Graduate Diploma in Commerce,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business & Management n.e.c.,MELBOURNE VIC
Graduate Diploma in Commerce,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business & Management n.e.c.,BRISBANE QLD
Graduate Diploma in Commerce,Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Business & Management n.e.c.,NORTH SYDNEY NSW
Graduate Diploma in Commerce,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Management & Commerce,Camperdown NSW
Graduate Diploma in Commercial and Resources Law,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,0.5 years,Business & Commercial Law,CRAWLEY WA
GRADUATE DIPLOMA IN COMMERCIAL ARBITRATION,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Law,CITY QUEEN STREET VIC
Graduate Diploma in Commercial Law,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.5 years,Law n.e.c.,Camperdown NSW
Graduate Diploma in Communication,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Written Communication,Sippy Downs QLD
GRADUATE DIPLOMA IN COMMUNICATION,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Written Communication,City Flinders VIC
Graduate Diploma in Communication (Public Relations),Postgraduate,,Graduate Diploma - new area,University of South Australia,1 year,Communication Studies,Magill SA
GRADUATE DIPLOMA IN COMMUNICATION (PUBLIC RELATIONS),Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Public Relations,City Flinders VIC
Graduate Diploma in Communication Management,Postgraduate,,Graduate Diploma - new area,"University of Technology, Sydney",1 year,Business & Management n.e.c.,Broadway NSW
Graduate Diploma in Communications Law,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,0.5 years,Law n.e.c.,PARKVILLE VIC
Graduate Diploma in Community and Not-for-Profit Management,Postgraduate,,Graduate Diploma - extending,"University of Technology, Sydney",1 year,Business & Management n.e.c.,Broadway NSW
Graduate Diploma in Community Counselling,Postgraduate,,Graduate Diploma - new area,University of Canberra,1 year,Counselling,Bruce ACT
Graduate Diploma in Community Cultural Development,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,1 year,Performing Arts n.e.c.,SOUTHBANK VIC
GRADUATE DIPLOMA IN COMMUNITY DEVELOPMENT,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Human Geography,MURDOCH WA
GRADUATE DIPLOMA IN COMMUNITY DEVELOPMENT,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Human Geography,Distance Education
Graduate Diploma in Community Mental Health,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Counselling,Sippy Downs QLD
Graduate Diploma in Community Planning and Development,Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Urban Design & Regional Planning,BENDIGO VIC
Graduate Diploma in Computer Science,Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Computer Science,BUNDOORA VIC
